vector_size,n_archivos,spearman_avg,spearman_ann,oov_rate,fase
25,5,0.19284421483862418,0.1417511185397391,0.0,corpus
25,20,0.24474609236342665,0.18151538169656894,0.0,corpus
25,57,0.2608074542421336,0.19648331288867604,0.0,corpus
25,57,0.2608074542421336,0.19648331288867604,0.0,dimensionalidad
50,5,0.1905294340624209,0.14106862081543176,0.0,corpus
50,20,0.24968582495357503,0.18753843872989107,0.0,corpus
50,57,0.27309775347394877,0.20746976870074332,0.0,corpus
50,57,0.27309775347394877,0.20746976870074332,0.0,dimensionalidad
100,5,0.18602483567928013,0.13790293579231305,0.0,corpus
100,20,0.25467544254186986,0.19309881777740334,0.0,corpus
100,57,0.28500462309241087,0.21788028841112905,0.0,corpus
100,57,0.28500462309241087,0.21788028841112905,0.0,dimensionalidad
