Modelo,Dimensión,Spearman AVG,Spearman Anot,OOV (%)
ft_sin_sw,25,0.235,0.1753,0.0
ft_sin_sw,50,0.2412,0.1824,0.0
ft_sin_sw,300,0.2449,0.1875,0.0
ft_sin_sw,100,0.2452,0.1868,0.0
ft_con_sw,300,0.2072,0.1581,0.0
ft_con_sw,100,0.1981,0.1483,0.0
ft_con_sw,50,0.1824,0.1361,0.0
ft_con_sw,25,0.1657,0.1238,0.0
