vector_size,n_archivos,spearman_avg,spearman_ann,oov_rate,fase
25,5,0.23118160799430842,0.16766789458137027,0.13347457627118645,corpus
25,20,0.2591019144862524,0.1875455825413433,0.07944915254237288,corpus
25,57,0.2736782562881451,0.19774453626583463,0.06408898305084745,corpus
25,57,0.2736782562881451,0.19774453626583463,0.06408898305084745,dimensionalidad
50,5,0.2613321714375552,0.19138172009750054,0.13347457627118645,corpus
50,20,0.2801921701817766,0.2053963197305765,0.07944915254237288,corpus
50,57,0.3016509460390603,0.221079749953461,0.06408898305084745,corpus
50,57,0.3016509460390603,0.221079749953461,0.06408898305084745,dimensionalidad
100,5,0.2615405455481541,0.19355380097090244,0.13347457627118645,corpus
100,20,0.2985195910817428,0.2207083125341855,0.07944915254237288,corpus
100,57,0.3296211580392042,0.2444499657026234,0.06408898305084745,corpus
100,57,0.3296211580392042,0.2444499657026234,0.06408898305084745,dimensionalidad
