vector_size,n_archivos,spearman_avg,spearman_ann,oov_rate,fase
25,5,0.2721274353234931,0.2020792088415017,0.1408898305084746,corpus
25,20,0.31367156617188213,0.22866329538611288,0.0858050847457627,corpus
25,57,0.32697444108544044,0.23863577627302535,0.0704449152542373,corpus
25,57,0.32697444108544044,0.23863577627302535,0.0704449152542373,dimensionalidad
50,5,0.2705762863947947,0.20046005113040058,0.1408898305084746,corpus
50,20,0.321278599208797,0.2371091555793828,0.0858050847457627,corpus
50,57,0.3565053067439407,0.2634657900869367,0.0704449152542373,corpus
50,57,0.3565053067439407,0.2634657900869367,0.0704449152542373,dimensionalidad
100,5,0.26719808235122433,0.19771349997608417,0.1408898305084746,corpus
100,20,0.33082291121563134,0.245711270278438,0.0858050847457627,corpus
100,57,0.3713444184150685,0.2771980241837967,0.0704449152542373,corpus
100,57,0.3713444184150685,0.2771980241837967,0.0704449152542373,dimensionalidad
